iter	F1	Logloss
0	0.7514217903	0.684872884
1	0.7630279026	0.6765366367
2	0.7593002757	0.6688050313
3	0.7624072253	0.6613003464
4	0.7607317841	0.653878678
5	0.7606128887	0.6469628755
6	0.763252149	0.6406676608
7	0.7660956618	0.6345605611
8	0.765215837	0.628193861
9	0.7642815538	0.6220891179
10	0.7645429363	0.6162157119
11	0.7653229767	0.6109100707
12	0.766166488	0.6064419772
13	0.7649235433	0.6014797814
14	0.7669540485	0.5971149023
15	0.7685954083	0.5930857067
16	0.7680611746	0.5887131352
17	0.7688681343	0.584554116
18	0.7680862438	0.5803620894
19	0.7682042614	0.5765913873
20	0.7680135129	0.5728813753
21	0.7688415446	0.56912723
22	0.7690465632	0.5658333703
23	0.7694491262	0.562459684
24	0.770076715	0.5591401487
25	0.7708056368	0.5562628221
26	0.7716890935	0.5535762357
27	0.7703158268	0.5507704054
28	0.7700292787	0.5479469195
29	0.7709348693	0.5451629223
30	0.7711879433	0.5427310149
31	0.7717588696	0.5403225556
32	0.7719546742	0.537920898
33	0.7721922294	0.5356951398
34	0.7725040917	0.5335538461
35	0.7721703746	0.5313857392
36	0.7727493917	0.5294143582
37	0.7727031333	0.5274246565
38	0.7737484521	0.5256725836
39	0.7735456757	0.5238478739
40	0.7730772635	0.5221863787
41	0.7738537794	0.5206111178
42	0.7753783521	0.5188885158
43	0.7748528956	0.5172649566
44	0.7749048083	0.5157934554
45	0.7760361318	0.5142107699
46	0.7762079809	0.5127647042
47	0.7763361821	0.5114257779
48	0.7760545906	0.5101976142
49	0.7761896307	0.5089701185
50	0.7764027501	0.50788201
51	0.7766835241	0.5065401918
52	0.7761710433	0.5054976752
53	0.7763192905	0.5043140392
54	0.7771028245	0.5030749752
55	0.7769701268	0.502062293
56	0.7775364567	0.5011107248
57	0.7778073207	0.5002184685
58	0.7781718237	0.4991950242
59	0.7778762631	0.498200895
60	0.7779107388	0.497282069
61	0.7781321992	0.4965301973
62	0.7781863288	0.4958035343
63	0.778491385	0.4949844909
64	0.7785941926	0.4940095345
65	0.7787414815	0.4931998891
66	0.7788793485	0.4925116594
67	0.7791839986	0.4917738305
68	0.7792230776	0.4910809684
69	0.7796265156	0.4900917796
70	0.7798964739	0.4894075277
71	0.78	0.4885544459
72	0.7802504092	0.4878410543
73	0.7805158607	0.4872497883
74	0.7805158607	0.4866160562
75	0.7807813122	0.4860018275
76	0.781169808	0.4854344531
77	0.7813965838	0.4847944653
78	0.7815512514	0.4840273126
79	0.7814587111	0.4833880166
80	0.7816823587	0.4827676567
81	0.7820167101	0.4821704717
82	0.7819050146	0.4816941941
83	0.7820512821	0.4811435083
84	0.7824510194	0.4806836922
85	0.7825279632	0.480173306
86	0.782581786	0.4795121363
87	0.7828162291	0.4790332757
88	0.7830664425	0.4785870924
89	0.7831085563	0.4780939835
90	0.7834932991	0.4774144417
91	0.7837742192	0.4769740407
92	0.7838471405	0.4765514706
93	0.7842512718	0.475815797
94	0.783916486	0.4753686556
95	0.78457388	0.4749481415
96	0.7845460172	0.4745879837
97	0.7846589401	0.4741844133
98	0.7846242314	0.4737719282
99	0.7850409383	0.4733725644
100	0.7857838364	0.4726926134
101	0.7859071394	0.4722884841
102	0.7864034699	0.471891996
103	0.7861379127	0.4715427318
104	0.7862771138	0.4712334311
105	0.7865904964	0.4708107784
106	0.7869984944	0.4704157866
107	0.7873207013	0.4699965397
108	0.7873499579	0.4696482518
109	0.7872293318	0.4693378543
110	0.7874789693	0.468983175
111	0.7873876268	0.468645876
112	0.7876129718	0.4683046305
113	0.7879539415	0.4679435542
114	0.7887535975	0.4675588808
115	0.7889656394	0.4672022704
116	0.7893921282	0.466782931
117	0.7896251051	0.4663357058
118	0.7899256374	0.4660290563
119	0.7899420072	0.4657530653
120	0.7901190845	0.4654675448
121	0.7902775933	0.4650059536
122	0.7900819128	0.4647625051
123	0.7901005003	0.4645270558
124	0.7900983084	0.4642662097
125	0.7901868745	0.4638823805
126	0.7904546863	0.4636320247
127	0.7906667847	0.4633190533
128	0.7906317793	0.4630588936
129	0.7907038513	0.4628286896
130	0.7909344429	0.4625944082
131	0.7909549518	0.4623362604
132	0.7910269457	0.4621117314
133	0.7908684688	0.4619363354
134	0.7911174025	0.4616865448
135	0.7911319586	0.4613997181
136	0.7914400672	0.4611632619
137	0.7915413201	0.4608730847
138	0.7914675164	0.4606178011
139	0.7915744756	0.4603678816
140	0.7916998496	0.460171404
141	0.7917717319	0.4598544565
142	0.792000354	0.4596216937
143	0.7921072424	0.4593295522
144	0.7920371599	0.4590997317
145	0.7923910639	0.4589120447
146	0.7924978989	0.4587297927
147	0.7924795399	0.4584461519
148	0.7924611777	0.4582831528
149	0.7924428123	0.458107458
150	0.7926748352	0.4577521495
151	0.7925513093	0.4575509769
152	0.7924795399	0.4572988226
153	0.7924077515	0.4570973874
154	0.7928167021	0.4568583028
155	0.7928334439	0.4566450052
156	0.7928501902	0.4564697589
157	0.7930637884	0.4563039071
158	0.7929219199	0.4561154873
159	0.7932590234	0.4559635633
160	0.793525848	0.4557429601
161	0.793135477	0.4555603368
162	0.7933642999	0.4554045277
163	0.7937336815	0.455249021
164	0.7935580922	0.4550462735
165	0.7935580922	0.4548958305
166	0.7937870608	0.4546861808
167	0.7941944334	0.4543575862
168	0.7943896288	0.4540709519
169	0.7943011371	0.4539198347
170	0.7944781204	0.4537069659
171	0.7945314574	0.4535501455
172	0.7945144879	0.4532925848
173	0.7947969206	0.4529708112
174	0.7949024293	0.4526796091
175	0.7949738961	0.4525223702
176	0.7949738961	0.4523733476
177	0.795045344	0.4522422596
178	0.7951508716	0.4520966442
179	0.7954344364	0.4518407926
180	0.7950986464	0.4517145926
