iter	Passed	Remaining
0	44	44731
1	87	43600
2	123	41150
3	166	41457
4	203	40459
5	243	40403
6	284	40295
7	329	40850
8	369	40652
9	410	40606
10	450	40493
11	488	40254
12	521	39616
13	556	39189
14	597	39261
15	637	39195
16	667	38604
17	698	38106
18	728	37608
19	761	37334
20	795	37098
21	834	37108
22	874	37157
23	914	37177
24	956	37312
25	999	37438
26	1041	37530
27	1079	37473
28	1114	37318
29	1156	37400
30	1192	37280
31	1232	37274
32	1272	37275
33	1303	37036
34	1338	36902
35	1380	36964
36	1421	36992
37	1460	36973
38	1501	36993
39	1540	36966
40	1578	36933
41	1617	36904
42	1658	36903
43	1692	36777
44	1721	36529
45	1760	36513
46	1802	36543
47	1842	36548
48	1876	36412
49	1910	36297
50	1950	36292
51	1988	36251
52	2028	36242
53	2072	36315
54	2112	36300
55	2156	36359
56	2208	36544
57	2257	36662
58	2286	36461
59	2316	36288
60	2344	36091
61	2381	36034
62	2430	36155
63	2472	36163
64	2515	36182
65	2555	36168
66	2595	36138
67	2634	36108
68	2675	36096
69	2715	36074
70	2753	36029
71	2793	36009
72	2836	36017
73	2885	36108
74	2932	36165
75	2989	36345
76	3060	36687
77	3112	36786
78	3150	36730
79	3188	36662
80	3242	36788
81	3303	36981
82	3370	37242
83	3438	37494
84	3512	37810
85	3578	38027
86	3641	38215
87	3718	38542
88	3781	38709
89	3834	38774
90	3888	38840
91	3954	39025
92	4017	39182
93	4085	39378
94	4154	39580
95	4193	39491
96	4232	39399
97	4296	39546
98	4363	39709
99	4428	39859
100	4491	39982
101	4556	40116
102	4623	40268
103	4692	40428
104	4754	40523
105	4814	40607
106	4875	40692
107	4929	40712
108	4969	40618
109	5028	40685
110	5083	40717
111	5130	40678
112	5184	40698
113	5242	40745
114	5306	40834
115	5368	40912
116	5409	40825
117	5448	40724
118	5487	40622
119	5555	40739
120	5616	40799
121	5681	40890
122	5747	40983
123	5812	41061
124	5878	41146
125	5943	41229
126	6006	41290
127	6075	41386
128	6141	41468
129	6208	41547
130	6264	41559
131	6304	41457
132	6341	41337
133	6396	41341
134	6463	41412
135	6527	41471
136	6597	41559
137	6661	41611
138	6727	41671
139	6795	41742
140	6860	41794
141	6927	41860
142	6991	41901
143	7057	41952
144	7107	41910
145	7166	41918
146	7227	41941
147	7295	42001
148	7350	41981
149	7407	41973
150	7475	42033
151	7546	42099
152	7597	42057
153	7655	42054
154	7723	42102
155	7785	42121
156	7854	42172
157	7921	42212
158	7984	42232
159	8033	42178
160	8076	42087
161	8118	41993
162	8158	41891
163	8199	41798
164	8241	41708
165	8282	41612
166	8330	41552
167	8388	41543
168	8448	41540
169	8501	41507
170	8546	41434
171	8594	41375
172	8644	41325
173	8685	41231
174	8724	41131
175	8762	41024
176	8800	40921
177	8839	40822
178	8877	40719
179	8911	40598
180	8941	40460
181	8976	40342
182	9015	40249
183	9053	40149
184	9091	40050
185	9131	39960
186	9169	39866
187	9208	39773
188	9248	39686
189	9287	39595
190	9326	39505
191	9363	39406
192	9403	39320
193	9441	39226
194	9481	39142
195	9521	39059
196	9561	38972
197	9600	38886
198	9640	38803
199	9679	38716
200	9717	38627
201	9753	38531
202	9790	38438
203	9828	38350
204	9868	38268
205	9906	38184
206	9944	38097
207	9984	38016
208	10033	37974
209	10077	37909
210	10110	37807
211	10140	37692
212	10170	37578
213	10199	37462
214	10229	37347
215	10258	37236
216	10294	37144
217	10330	37058
218	10370	36984
219	10408	36902
220	10447	36826
221	10487	36753
222	10516	36642
223	10547	36538
224	10579	36439
225	10618	36366
226	10657	36291
227	10687	36187
228	10720	36094
229	10760	36025
230	10796	35942
231	10834	35865
232	10864	35765
233	10900	35684
234	10938	35607
235	10970	35515
236	11000	35415
237	11040	35347
238	11098	35339
239	11142	35283
240	11178	35206
241	11216	35132
242	11256	35066
243	11294	34994
244	11331	34919
245	11360	34820
246	11394	34737
247	11433	34668
248	11465	34582
249	11495	34486
250	11527	34399
251	11556	34301
252	11586	34210
253	11622	34134
254	11655	34051
255	11684	33958
256	11712	33862
257	11750	33795
258	11789	33729
259	11824	33654
260	11855	33568
261	11884	33476
262	11923	33411
263	11960	33343
264	11999	33281
265	12029	33192
266	12065	33124
267	12106	33067
268	12145	33005
269	12183	32941
270	12223	32880
271	12260	32815
272	12299	32754
273	12337	32689
274	12370	32614
275	12405	32542
276	12444	32482
277	12479	32411
278	12508	32325
279	12550	32272
280	12589	32212
281	12627	32149
282	12665	32088
283	12707	32036
284	12745	31974
285	12783	31913
286	12814	31835
287	12848	31763
288	12886	31703
289	12926	31648
290	12967	31593
291	13002	31525
292	13031	31444
293	13067	31378
294	13111	31333
295	13142	31256
296	13171	31176
297	13217	31135
298	13265	31100
299	13303	31041
300	13341	30983
301	13382	30930
302	13418	30868
303	13460	30816
304	13497	30756
305	13536	30699
306	13573	30640
307	13612	30584
308	13649	30524
309	13681	30451
310	13718	30393
311	13753	30328
312	13785	30257
313	13821	30195
314	13860	30140
315	13897	30080
316	13936	30027
317	13966	29953
318	13997	29882
319	14037	29830
320	14081	29786
321	14124	29739
322	14162	29684
323	14203	29633
324	14246	29589
325	14284	29532
326	14322	29476
327	14363	29428
328	14403	29376
329	14443	29324
330	14482	29271
331	14520	29216
332	14558	29160
333	14597	29108
334	14636	29054
335	14670	28991
336	14708	28936
337	14745	28880
338	14773	28806
339	14811	28751
340	14849	28696
341	14890	28648
342	14922	28583
343	14957	28522
344	14995	28469
345	15036	28422
346	15075	28369
347	15112	28313
348	15141	28244
349	15173	28179
350	15207	28118
351	15243	28061
352	15281	28008
353	15335	27985
354	15383	27951
355	15423	27900
356	15459	27844
357	15497	27791
358	15535	27738
359	15574	27687
360	15613	27636
361	15650	27582
362	15682	27519
363	15711	27452
364	15747	27396
365	15786	27345
366	15825	27294
367	15853	27226
368	15884	27162
369	15914	27097
370	15952	27046
371	15990	26994
372	16024	26936
373	16054	26871
374	16089	26816
375	16123	26758
376	16165	26714
377	16203	26662
378	16234	26600
379	16263	26535
380	16296	26477
381	16335	26427
382	16380	26389
383	16425	26349
384	16466	26302
385	16505	26254
386	16543	26205
387	16580	26152
388	16618	26102
389	16659	26056
390	16693	26001
391	16734	25954
392	16773	25906
393	16812	25859
394	16851	25811
395	16880	25747
396	16911	25686
397	16945	25631
398	16984	25583
399	17024	25536
400	17064	25489
401	17103	25442
402	17136	25386
403	17167	25325
404	17201	25270
405	17234	25215
406	17271	25164
407	17304	25108
408	17336	25051
409	17367	24992
410	17401	24937
411	17440	24890
412	17479	24843
413	17519	24797
414	17554	24745
415	17586	24689
416	17626	24642
417	17666	24597
418	17705	24550
419	17757	24522
420	17799	24479
421	17839	24434
422	17876	24384
423	17912	24333
424	17949	24285
425	17986	24235
426	18023	24186
427	18057	24133
428	18089	24077
429	18122	24023
430	18158	23972
431	18194	23922
432	18233	23875
433	18265	23821
434	18294	23762
435	18331	23712
436	18367	23663
437	18403	23614
438	18439	23563
439	18476	23515
440	18518	23473
441	18558	23429
442	18601	23388
443	18654	23359
444	18706	23330
445	18745	23285
446	18788	23243
447	18831	23203
448	18877	23166
449	18925	23131
450	18961	23081
451	19022	23062
452	19103	23067
453	19176	23062
454	19254	23063
455	19316	23043
456	19381	23028
457	19441	23007
458	19508	22993
459	19576	22980
460	19640	22963
461	19687	22925
462	19725	22878
463	19760	22826
464	19810	22792
465	19846	22742
466	19882	22692
467	19933	22658
468	19996	22639
469	20062	22623
470	20134	22614
471	20197	22593
472	20263	22576
473	20328	22558
474	20385	22531
475	20444	22506
476	20510	22488
477	20570	22464
478	20606	22413
479	20659	22381
480	20736	22375
481	20799	22353
482	20859	22327
483	20927	22311
484	20990	22288
485	21056	22269
486	21130	22259
487	21165	22206
488	21205	22159
489	21244	22111
490	21284	22064
491	21350	22044
492	21409	22017
493	21462	21983
494	21521	21955
495	21586	21934
496	21659	21921
497	21724	21898
498	21792	21880
499	21859	21859
500	21922	21834
501	21988	21813
502	22051	21788
503	22108	21757
504	22168	21729
505	22206	21679
506	22253	21639
507	22318	21615
508	22380	21589
509	22440	21560
510	22503	21534
511	22567	21509
512	22631	21484
513	22694	21457
514	22758	21433
515	22818	21403
516	22884	21379
517	22948	21353
518	23009	21324
519	23075	21300
520	23140	21274
521	23193	21238
522	23266	21219
523	23332	21195
524	23392	21164
525	23450	21132
526	23499	21091
527	23540	21043
528	23578	20993
529	23612	20939
530	23653	20891
531	23692	20842
532	23734	20795
533	23776	20748
534	23814	20698
535	23855	20651
536	23893	20600
537	23935	20554
538	23976	20506
539	24039	20478
540	24087	20436
541	24123	20384
542	24160	20334
543	24199	20284
544	24235	20233
545	24277	20186
546	24327	20146
547	24373	20104
548	24410	20052
549	24452	20006
550	24489	19956
551	24527	19906
552	24566	19857
553	24605	19808
554	24652	19766
555	24692	19718
556	24720	19661
557	24752	19607
558	24781	19550
559	24809	19493
560	24841	19439
561	24876	19388
562	24913	19337
563	24943	19282
564	24969	19224
565	25001	19170
566	25039	19122
567	25081	19075
